Id,AbilityId,VersionGroupId,LocalLanguageId,FlavorText
1,1,5,9,Helps repel wild POKéMON.
2,1,6,9,Helps repel wild POKéMON.
3,1,7,9,Helps repel wild POKéMON.
4,1,8,9,"The stench helps keep
wild Pokémon away."
5,1,9,9,"The stench helps keep
wild Pokémon away."
6,1,10,9,"The stench helps keep
wild Pokémon away."
7,1,11,5,"La puanteur peut
effrayer l’adversaire."
8,1,11,9,"The stench may cause
the target to flinch."
9,1,14,9,"The stench may cause
the target to flinch."
10,1,15,1,"くさくて　あいてが
ひるむ　ことがある。"
11,1,15,3,"악취 때문에 상대가
풀죽을 때가 있다."
12,1,15,5,"La puanteur peut effrayer
l’adversaire."
13,1,15,6,"Lässt den Gegner durch Gestank
zurückschrecken."
14,1,15,7,"Es posible que el rival retroceda
por el mal olor."
15,1,15,8,"A volte il cattivo odore
fa tentennare i nemici."
16,1,15,9,"The stench may cause
the target to flinch."
17,1,15,11,"臭くて　相手が
ひるむ　ことがある。"
18,1,16,1,"くさくて　あいてが
ひるむ　ことがある。"
19,1,16,3,"악취 때문에 상대가
풀죽을 때가 있다."
20,1,16,5,"La puanteur peut effrayer
l’adversaire."
21,1,16,6,"Lässt den Gegner durch Gestank
zurückschrecken."
22,1,16,7,"Es posible que el rival retroceda
por el mal olor."
23,1,16,8,"A volte il cattivo odore
fa tentennare i nemici."
24,1,16,9,"The stench may cause
the target to flinch."
25,1,16,11,"臭くて　相手が
ひるむ　ことがある。"
26,1,17,1,"くさい　においを　はなつことによって
こうげきした　ときに　あいてを
ひるませることが　ある。"
27,1,17,3,"악취를 풍겨서
공격했을 때 상대가
풀죽을 때가 있다."
28,1,17,4,"發出臭氣，
在攻擊的時候，
有時會使對手畏縮。"
29,1,17,5,"Le Pokémon émet une odeur si nauséabonde
qu’il peut effrayer sa cible."
30,1,17,6,"Lässt das Ziel beim Angriff eventuell durch Gestank
zurückschrecken."
31,1,17,7,"Debido al mal olor que emana, al atacar al rival puede
hacerlo retroceder."
32,1,17,8,"A volte il cattivo odore emesso dal Pokémon
fa tentennare i nemici quando attacca."
33,1,17,9,"By releasing stench when attacking, this Pokémon
may cause the target to flinch."
34,1,17,11,"臭い　においを　放つことによって
攻撃した　ときに　相手を
ひるませることが　ある。"
35,1,17,12,"通过释放臭臭的气味，
在攻击的时候，
有时会使对手畏缩。"
36,1,18,1,"くさい　においを　はなつことによって
こうげきした　ときに　あいてを
ひるませることが　ある。"
37,1,18,3,"악취를 풍겨서
공격했을 때 상대가
풀죽을 때가 있다."
38,1,18,4,"發出臭氣，
在攻擊的時候，
有時會使對手畏縮。"
39,1,18,5,"Le Pokémon émet une odeur si nauséabonde
qu’il peut effrayer sa cible."
40,1,18,6,"Lässt das Ziel beim Angriff eventuell durch Gestank
zurückschrecken."
41,1,18,7,"Debido al mal olor que emana, al atacar al rival puede
hacerlo retroceder."
42,1,18,8,"A volte il cattivo odore emesso dal Pokémon
fa tentennare i nemici quando attacca."
43,1,18,9,"By releasing stench when attacking, this Pokémon
may cause the target to flinch."
44,1,18,11,"臭い　においを　放つことによって
攻撃した　ときに　相手を
ひるませることが　ある。"
45,1,18,12,"通过释放臭臭的气味，
在攻击的时候，
有时会使对手畏缩。"
46,1,19,1,"くさい　においを　はなつことによって
こうげきした　ときに　あいてを
ひるませることが　ある。"
47,1,19,3,"악취를 풍겨서
공격했을 때 상대가
풀죽을 때가 있다."
48,1,19,4,"發出臭氣，
在攻擊的時候，
有時會使對手畏縮。"
49,1,19,5,"Le Pokémon émet une odeur si nauséabonde
qu’il peut effrayer sa cible."
50,1,19,6,"Lässt das Ziel beim Angriff eventuell durch Gestank
zurückschrecken."
51,1,19,7,"Debido al mal olor que emana, al atacar al rival puede
hacerlo retroceder."
52,1,19,8,"A volte il cattivo odore emesso dal Pokémon
fa tentennare i nemici quando attacca."
53,1,19,9,"By releasing stench when attacking, this Pokémon
may cause the target to flinch."
54,1,19,11,"臭い　においを　放つことによって
攻撃した　ときに　相手を
ひるませることが　ある。"
55,1,19,12,"通过释放臭臭的气味，
在攻击的时候，
有时会使对手畏缩。"
56,1,20,1,"くさい　においを　はなつことによって
こうげきした　ときに　あいてを
ひるませることが　ある。"
57,1,20,3,"악취를 풍겨서
공격했을 때 상대가
풀죽을 때가 있다."
58,1,20,4,"發出臭氣，
在攻擊的時候，
有時會使對手畏縮。"
59,1,20,5,"Le Pokémon émet une odeur si nauséabonde
qu’il peut effrayer sa cible."
60,1,20,6,"Lässt das Ziel beim Angriff eventuell durch Gestank
zurückschrecken."
61,1,20,7,"Puede amedrentar al rival al atacarlo debido al mal olor
que emana."
