Id,ItemId,LocalLanguageId,Name
1,1,1,マスターボール
2,1,3,마스터볼
3,1,4,大師球
4,1,5,Master Ball
5,1,6,Meisterball
6,1,7,Master Ball
7,1,8,Master Ball
8,1,9,Master Ball
9,1,11,マスターボール
10,1,12,大师球
11,2,1,ハイパーボール
12,2,3,하이퍼볼
13,2,4,高級球
14,2,5,Hyper Ball
15,2,6,Hyperball
16,2,7,Ultra Ball
17,2,8,Ultra Ball
18,2,9,Ultra Ball
19,2,11,ハイパーボール
20,2,12,高级球
21,3,1,スーパーボール
22,3,3,수퍼볼
23,3,4,超級球
24,3,5,Super Ball
25,3,6,Superball
26,3,7,Super Ball
27,3,8,Mega Ball
28,3,9,Great Ball
29,3,11,スーパーボール
30,3,12,超级球
31,4,1,モンスターボール
32,4,3,몬스터볼
33,4,4,精靈球
34,4,5,Poké Ball
35,4,6,Pokéball
36,4,7,Poké Ball
37,4,8,Poké Ball
38,4,9,Poké Ball
39,4,11,モンスターボール
40,4,12,精灵球
41,5,1,サファリボール
42,5,3,사파리볼
43,5,4,狩獵球
44,5,5,Safari Ball
45,5,6,Safariball
46,5,7,Safari Ball
47,5,8,Safari Ball
48,5,9,Safari Ball
49,5,11,サファリボール
50,5,12,狩猎球
51,6,1,ネットボール
52,6,3,넷트볼
53,6,4,捕網球
54,6,5,Filet Ball
55,6,6,Netzball
56,6,7,Malla Ball
57,6,8,Rete Ball
58,6,9,Net Ball
59,6,11,ネットボール
60,6,12,捕网球
61,7,1,ダイブボール
62,7,3,다이브볼
63,7,4,潛水球
64,7,5,Scuba Ball
65,7,6,Tauchball
66,7,7,Buceo Ball
67,7,8,Sub Ball
68,7,9,Dive Ball
69,7,11,ダイブボール
70,7,12,潜水球
71,8,1,ネストボール
72,8,3,네스트볼
73,8,4,巢穴球
74,8,5,Faiblo Ball
75,8,6,Nestball
76,8,7,Nido Ball
77,8,8,Minor Ball
78,8,9,Nest Ball
79,8,11,ネストボール
80,8,12,巢穴球
81,9,1,リピートボール
82,9,3,리피드볼
83,9,4,重複球
84,9,5,Bis Ball
85,9,6,Wiederball
86,9,7,Acopio Ball
87,9,8,Bis Ball
88,9,9,Repeat Ball
89,9,11,リピートボール
90,9,12,重复球
91,10,1,タイマーボール
92,10,3,타이마볼
93,10,4,計時球
94,10,5,Chrono Ball
95,10,6,Timerball
96,10,7,Turno Ball
97,10,8,Timer Ball
98,10,9,Timer Ball
99,10,11,タイマーボール
100,10,12,计时球
101,11,1,ゴージャスボール
102,11,3,럭셔리볼
103,11,4,豪華球
104,11,5,Luxe Ball
105,11,6,Luxusball
106,11,7,Lujo Ball
107,11,8,Chic Ball
108,11,9,Luxury Ball
109,11,11,ゴージャスボール
110,11,12,豪华球
111,12,1,プレミアボール
112,12,3,프레미어볼
113,12,4,紀念球
114,12,5,Honor Ball
115,12,6,Premierball
116,12,7,Honor Ball
117,12,8,Premier Ball
118,12,9,Premier Ball
119,12,11,プレミアボール
120,12,12,纪念球
121,13,1,ダークボール
122,13,3,다크볼
