Id	MoveFlagId	LocalLanguageId	Description	Name
1	1	6	Der Anwender berührt das Ziel.  Dies löst mahcne Fähigkeiten aus (z.B. []{ability:static}) und Gegenstände (z.B. []{item:sticky-barb}).	Kontakt
2	1	9	User touches the target.  This triggers some abilities (e.g., []{ability:static}) and items (e.g., []{item:sticky-barb}).	Makes contact
3	2	6	Diese Fähigkeit hat eine Aufladerunde, welche mit einer []{item:power-herb} übersprungen werden kann.	Hat eine Aufladerunde
4	2	9	This move has a charging turn that can be skipped with a []{item:power-herb}.	Has a charging turn
5	3	6	Die Runde nach dieser Fähigkeit wird benötigt, damit das Pokémon sich aufladen kann.	Muss aufladen
6	3	9	The turn after this move is used, the Pokémon's action is skipped so it can recharge.	Must recharge
7	4	6	Diese Fähigkeit funktioniert nicht, wenn das Ziel []{move:detect} oder []{move:protect} diese Runde genutzt hat.	Blockiert von Scanner and Schutzschild
8	4	9	This move will not work if the target has used []{move:detect} or []{move:protect} this turn.	Blocked by Detect and Protect
9	5	6	Diese Fähigkeit könnte reflektiert mit []{move:magic-coat} oder []{ability:magic-bounce} reflektiert werden.	Reflektierbar
10	5	9	This move may be reflected back at the user with []{move:magic-coat} or []{ability:magic-bounce}.	Reflectable
11	6	6	Diese Fähigkeit kann übernommen werden, wenn ein anderes Pokémon []{move:snatch} diese Runde nutzt.	Übernehmbar
12	6	9	This move will be stolen if another Pokémon has used []{move:snatch} this turn.	Snatchable
13	7	6	Ein von dieser Fähigkeit getroffenes Pokémon kann []{move:mirror-move} nutzen um diese Fähigkeit zu kopieren.	Kopierbar von Spiegeltrick
14	7	9	A Pokémon targeted by this move can use []{move:mirror-move} to copy it.	Copied by Mirror Move
15	8	6	Diese Fähigkeit hat die 1.2× Kraft, wenn es von einem Pokémon mit []{ability:iron-fist} genutzt wird.	Hieb basierend
16	8	9	This move has 1.2× its usual power when used by a Pokémon with []{ability:iron-fist}.	Punch-based
17	9	6	Pokémon mit []{ability:soundproof} sind immun gegen diese Fähigkeit.	Sound basierend
18	9	9	Pokémon with []{ability:soundproof} are immune to this move.	Sound-based
19	10	6	Diese Fähigkeit kann nicht bei hoher []{move:gravity} genutzt werden.	Nicht nutzbar bei hoher Erdanziehung
20	10	9	This move cannot be used in high []{move:gravity}.	Unusable during Gravity
21	11	6	Diese Fähigkeit kann genutzt werden, wenn das Pokémon vereist ist um es zu enteisen.	Enteist bei benutzung
22	11	9	This move can be used while frozen to force the Pokémon to defrost.	Defrosts when used
23	12	6	In 3er Kämpfen trifft diese Fähigkeit den entferntesten Gegner.	Trifft gegenüber liegende Seite in 3er Kämpfen
24	12	9	In triple battles, this move can be used on either side to target the farthest away opposing Pokémon.	Targets opposite side in triples
25	13	6	Diese Fähigkeit wird von []{move:heal-block} blockiert.	Heilt
26	13	9	This move is blocked by []{move:heal-block}.	Heals
27	14	6	Diese Fähigkeit ignoriert den []{move:substitute} des Ziels.	Ignoriert Delegator
28	14	9	This move ignores the target's []{move:substitute}.	Ignores Substitute
29	15	6	Pokémon mit []{ability:overcoat} und []{type:grass}-Pokémon sind immun gegen diese Fähigkeit.	Pulver basierend
30	15	9	Pokémon with []{ability:overcoat} and []{type:grass}-type Pokémon are immune to this move.	Powder-based
31	16	6	Diese Fähigkeit hat die 1.5× Kraft, wenn sie von einem Pokémon mit []{ability:strong-jaw} genutzt wird.	Kiefer basierend
32	16	9	This move has 1.5× its usual power when used by a Pokémon with []{ability:strong-jaw}.	Jaw-based
33	17	6	Diese Fähigkeit hat die 1.5× Kraft, wenn sie von einem Pokémon mit []{ability:mega-launcher} genutzt wird.	Megawumme basierend
34	17	9	This move has 1.5× its usual power when used by a Pokémon with []{ability:mega-launcher}.	Pulse-based
35	18	6	Diese Fähigkeit wird von []{ability:bulletproof} blockiert.	Ballistik basierend
36	18	9	This move is blocked by []{ability:bulletproof}.	Ballistics-based
37	19	6	Diese Fähigkeit wird durch []{ability:aroma-veil} blockiert und wird durch []{item:mental-herb} geheilt.	Psychische Effekte
38	19	9	This move is blocked by []{ability:aroma-veil} and cured by []{item:mental-herb}.	Mental effects
39	20	6	Diese Fähigkeit ist in Himmelskämpfen nicht nutzbar.	Nicht Nutzbar in Himmelskämpfen
40	20	9	This move is unusable during Sky Battles.	Unusable during Sky Battles
41	21	9	This move triggers []{ability:dancer}.	Dance
