Id,MoveId,LocalLanguageId,Name
1,1,1,はたく
2,1,3,막치기
3,1,4,拍擊
4,1,5,Écras’Face
5,1,6,Klaps
6,1,7,Destructor
7,1,8,Botta
8,1,9,Pound
9,1,11,はたく
10,1,12,拍击
11,2,1,からてチョップ
12,2,3,태권당수
13,2,4,空手劈
14,2,5,Poing Karaté
15,2,6,Karateschlag
16,2,7,Golpe Kárate
17,2,8,Colpokarate
18,2,9,Karate Chop
19,2,11,からてチョップ
20,2,12,空手劈
21,3,1,おうふくビンタ
22,3,3,연속뺨치기
23,3,4,連環巴掌
24,3,5,Torgnoles
25,3,6,Duplexhieb
26,3,7,Doble Bofetón
27,3,8,Doppiasberla
28,3,9,Double Slap
29,3,11,おうふくビンタ
30,3,12,连环巴掌
31,4,1,れんぞくパンチ
32,4,3,연속펀치
33,4,4,連續拳
34,4,5,Poing Comète
35,4,6,Kometenhieb
36,4,7,Puño Cometa
37,4,8,Cometapugno
38,4,9,Comet Punch
39,4,11,れんぞくパンチ
40,4,12,连续拳
41,5,1,メガトンパンチ
42,5,3,메가톤펀치
43,5,4,百萬噸重拳
44,5,5,Ultimapoing
45,5,6,Megahieb
46,5,7,Megapuño
47,5,8,Megapugno
48,5,9,Mega Punch
49,5,11,メガトンパンチ
50,5,12,百万吨重拳
51,6,1,ネコにこばん
52,6,3,고양이돈받기
53,6,4,聚寶功
54,6,5,Jackpot
55,6,6,Zahltag
56,6,7,Día de Pago
57,6,8,Giornopaga
58,6,9,Pay Day
59,6,11,ネコにこばん
60,6,12,聚宝功
61,7,1,ほのおのパンチ
62,7,3,불꽃펀치
63,7,4,火焰拳
64,7,5,Poing Feu
65,7,6,Feuerschlag
66,7,7,Puño Fuego
67,7,8,Fuocopugno
68,7,9,Fire Punch
69,7,11,ほのおのパンチ
70,7,12,火焰拳
71,8,1,れいとうパンチ
72,8,3,냉동펀치
73,8,4,冰凍拳
74,8,5,Poing Glace
75,8,6,Eishieb
76,8,7,Puño Hielo
77,8,8,Gelopugno
78,8,9,Ice Punch
79,8,11,れいとうパンチ
80,8,12,冰冻拳
81,9,1,かみなりパンチ
82,9,3,번개펀치
83,9,4,雷電拳
84,9,5,Poing Éclair
85,9,6,Donnerschlag
86,9,7,Puño Trueno
87,9,8,Tuonopugno
88,9,9,Thunder Punch
89,9,11,かみなりパンチ
90,9,12,雷电拳
91,10,1,ひっかく
92,10,3,할퀴기
93,10,4,抓
94,10,5,Griffe
95,10,6,Kratzer
96,10,7,Arañazo
97,10,8,Graffio
98,10,9,Scratch
99,10,11,ひっかく
100,10,12,抓
101,11,1,はさむ
102,11,3,찝기
103,11,4,夾住
104,11,5,Force Poigne
105,11,6,Klammer
106,11,7,Agarre
107,11,8,Presa
