Id	MoveTargetId	LocalLanguageId	Description	Name
1	1	6	Eine spezifische Fähigkeit.  Wie diese Fähigkeit genutzt wird hängt von den genutzten Fähigkeiten ab.	Spezifische Fähigkeit
2	1	9	One specific move.  How this move is chosen depends upon on the move being used.	Specific move
3	2	6	Ein anderes vom Trainer ausgewähltes Pokémon auf dem Feld.  Gestohlene Fähigkeiten nutzen das selbe Ziel.	Ausgewähltes Pokémon
4	2	9	One other Pokémon on the field, selected by the trainer.  Stolen moves reuse the same target.	Selected Pokémon
5	3	6	Die Partner des Anwenders (wenn vorhanden).	Partner
6	3	9	The user's ally (if any).	Ally
7	4	6	Die Seite des Anwenders auf dem Feld.  Betrifft den Anwender und seine Partner (wenn vorhanden).	Seite des Anwenders
8	4	9	The user's side of the field.  Affects the user and its ally (if any).	User's field
9	5	6	Entweder der Anwender oder seine Partner. Der Trainer kann es aussuchen.	Anwender oder Partner
10	5	9	Either the user or its ally, selected by the trainer.	User or ally
11	6	6	Die andere Seite des Feldes.  Betrifft gegnerische Pokémon.	Gegnerisches Feld
12	6	9	The opposing side of the field.  Affects opposing Pokémon.	Opponent's field
13	7	6	Der Anwender.	Anwender
14	7	9	The user.	User
15	8	6	Ein zufälliges gegnerische Pokémon.	Zufälliger Gegner
16	8	9	One opposing Pokémon, selected at random.	Random opponent
17	9	6	Jedes andere Pokémon auf dem Feld.	Alle anderen Pokémon
18	9	9	Every other Pokémon on the field.	All other Pokémon
19	10	6	Ein anderes Pokémon auf dem Feld, welches vom Trainer ausgewählt wird.	Ausgewähltes Pokémon
20	10	9	One other Pokémon on the field, selected by the trainer.	Selected Pokémon
21	11	6	Alle gegnerischen Pokémon.	Alle Gegner
22	11	9	All opposing Pokémon.	All opponents
23	12	6	Das komplette Feld.  Betrifft alle Pokémon.	Komplette Feld
24	12	9	The entire field.  Affects all Pokémon.	Entire field
25	13	6	Der Anwender und seine Partner.	Anwender und Partner
26	13	9	The user and its allies.	User and allies
27	14	6	Jedes Pokémon auf dem Feld.	Jedes Pokémon
28	14	9	Every Pokémon on the field.	All Pokémon
